x,y
1,1
2,3
3,5
4,7
5,9
6,11
7,13
8,15
9,17
10,19
11,21
12,23
13,25
14,27
15,29
16,31
17,33
18,35
19,37
20,39
21,41
22,43
23,45
24,47
25,49
26,51
27,53
28,55
29,57
30,59
31,61
32,63
33,65
34,67
35,69
36,71
37,73
38,75
39,77
40,79
41,81
42,83
43,85
44,87
45,89
46,91
47,93
48,95
49,97
50,99
51,101
52,103
53,105
54,107
55,109
56,111
57,113
58,115
59,117
60,119
61,121
62,123
63,125
64,127
65,129
66,131
67,133
68,135
69,137
70,139
71,141
72,143
73,145
74,147
75,149
76,151
77,153
78,155
79,157
80,159
81,161
82,163
83,165
84,167
85,169
86,171
87,173
88,175
89,177
90,179
91,181
92,183
93,185
94,187
95,189
96,191
97,193
98,195
99,197
100,199
101,201
102,203
103,205
104,207
105,209
106,211
107,213
108,215
109,217
110,219
111,221
112,223
113,225
114,227
115,229
116,231
117,233
118,235
119,237
120,239
121,241
122,243
123,245
124,247
125,249
126,251
127,253
128,255
129,257
130,259
131,261
132,263
133,265
134,267
135,269
136,271
137,273
138,275
139,277
140,279
141,281
142,283
143,285
144,287
145,289
146,291
147,293
148,295
149,297
150,299
151,301
152,303
153,305
154,307
155,309
156,311
157,313
158,315
159,317
160,319
161,321
162,323
163,325
164,327
165,329
166,331
167,333
168,335
169,337
170,339
171,341
172,343
173,345
174,347
175,349
176,351
177,353
178,355
179,357
180,359
181,361
182,363
183,365
184,367
185,369
186,371
187,373
188,375
189,377
190,379
191,381
192,383
193,385
194,387
195,389
196,391
197,393
198,395
199,397
200,399
